text,label
Crypto investment group cheated me yesterday,Investment Scam
Ponzi scheme promised double returns urgently,Investment Scam
Crypto investment group cheated me immediately,Investment Scam
Fake stock market advisor fraud suddenly,Investment Scam
Fraud investment call promising high returns today,Investment Scam
Online trading app blocked withdrawal today,Investment Scam
Fraud investment call promising high returns yesterday,Investment Scam
Crypto investment group cheated me immediately,Investment Scam
Fraud investment call promising high returns suddenly,Investment Scam
Ponzi scheme promised double returns yesterday,Investment Scam
Ponzi scheme promised double returns suddenly,Investment Scam
Fake shopping website took payment today,Online Shopping Scam
Ordered product not delivered yesterday,Online Shopping Scam
Fake shopping website took payment immediately,Online Shopping Scam
Ecommerce fraud site disappeared immediately,Online Shopping Scam
Instagram store blocked after payment urgently,Online Shopping Scam
Ecommerce fraud site disappeared today,Online Shopping Scam
Online seller not responding after payment urgently,Online Shopping Scam
Fake shopping website took payment yesterday,Online Shopping Scam
Instagram store blocked after payment immediately,Online Shopping Scam
Online seller not responding after payment immediately,Online Shopping Scam
Ordered product not delivered today,Online Shopping Scam
Online seller not responding after payment suddenly,Online Shopping Scam
Ordered product not delivered today,Online Shopping Scam
Online seller not responding after payment suddenly,Online Shopping Scam
Online seller not responding after payment suddenly,Online Shopping Scam
Online seller not responding after payment yesterday,Online Shopping Scam
Ordered product not delivered immediately,Online Shopping Scam
Ecommerce fraud site disappeared urgently,Online Shopping Scam
Instagram store blocked after payment today,Online Shopping Scam
Online seller not responding after payment today,Online Shopping Scam
Online seller not responding after payment urgently,Online Shopping Scam
Online seller not responding after payment today,Online Shopping Scam
Instagram store blocked after payment yesterday,Online Shopping Scam
Fake shopping website took payment urgently,Online Shopping Scam
Online seller not responding after payment suddenly,Online Shopping Scam
Fake shopping website took payment urgently,Online Shopping Scam
Online seller not responding after payment urgently,Online Shopping Scam
Online seller not responding after payment suddenly,Online Shopping Scam
Ordered product not delivered urgently,Online Shopping Scam
Online seller not responding after payment today,Online Shopping Scam
Fraud loan agent collected documents today,Loan App Fraud
Loan app threatening with morphed photos suddenly,Loan App Fraud
Fake loan approval asking processing fee urgently,Loan App Fraud
Loan app threatening with morphed photos immediately,Loan App Fraud
Loan app threatening with morphed photos urgently,Loan App Fraud
Loan app threatening with morphed photos immediately,Loan App Fraud
Fraud loan agent collected documents today,Loan App Fraud
Personal loan scam through mobile app yesterday,Loan App Fraud
Instant loan app demanding extra charges suddenly,Loan App Fraud
Fraud loan agent collected documents yesterday,Loan App Fraud
Instant loan app demanding extra charges immediately,Loan App Fraud
Loan app threatening with morphed photos immediately,Loan App Fraud
Loan app threatening with morphed photos today,Loan App Fraud
Fake loan approval asking processing fee yesterday,Loan App Fraud
Instant loan app demanding extra charges immediately,Loan App Fraud
Fake loan approval asking processing fee today,Loan App Fraud
Personal loan scam through mobile app urgently,Loan App Fraud
Fraud loan agent collected documents today,Loan App Fraud
Loan app threatening with morphed photos suddenly,Loan App Fraud
Fake loan approval asking processing fee suddenly,Loan App Fraud
Fake loan approval asking processing fee today,Loan App Fraud
Instant loan app demanding extra charges yesterday,Loan App Fraud
Fraud loan agent collected documents urgently,Loan App Fraud
Loan app threatening with morphed photos suddenly,Loan App Fraud
Instant loan app demanding extra charges today,Loan App Fraud
Fake loan approval asking processing fee suddenly,Loan App Fraud
Fake loan approval asking processing fee today,Loan App Fraud
Fake loan approval asking processing fee yesterday,Loan App Fraud
Instant loan app demanding extra charges urgently,Loan App Fraud
Loan app threatening with morphed photos today,Loan App Fraud
Bank OTP received on new SIM suddenly,Sim Swap Fraud
Bank OTP received on new SIM suddenly,Sim Swap Fraud
Bank OTP received on new SIM urgently,Sim Swap Fraud
Mobile network stopped and account emptied urgently,Sim Swap Fraud
SIM cloning caused financial loss today,Sim Swap Fraud
SIM swapped and money transferred yesterday,Sim Swap Fraud
SIM swapped and money transferred immediately,Sim Swap Fraud
Duplicate SIM issued without consent immediately,Sim Swap Fraud
Duplicate SIM issued without consent today,Sim Swap Fraud
SIM swapped and money transferred today,Sim Swap Fraud
SIM cloning caused financial loss immediately,Sim Swap Fraud
Duplicate SIM issued without consent suddenly,Sim Swap Fraud
SIM swapped and money transferred immediately,Sim Swap Fraud
Duplicate SIM issued without consent yesterday,Sim Swap Fraud
Mobile network stopped and account emptied suddenly,Sim Swap Fraud
Duplicate SIM issued without consent yesterday,Sim Swap Fraud
Bank OTP received on new SIM yesterday,Sim Swap Fraud
SIM swapped and money transferred immediately,Sim Swap Fraud
Mobile network stopped and account emptied suddenly,Sim Swap Fraud
Duplicate SIM issued without consent yesterday,Sim Swap Fraud
Mobile network stopped and account emptied suddenly,Sim Swap Fraud
Duplicate SIM issued without consent immediately,Sim Swap Fraud
SIM cloning caused financial loss suddenly,Sim Swap Fraud
Duplicate SIM issued without consent today,Sim Swap Fraud
Mobile network stopped and account emptied suddenly,Sim Swap Fraud
SIM swapped and money transferred urgently,Sim Swap Fraud
Mobile network stopped and account emptied today,Sim Swap Fraud
SIM cloning caused financial loss today,Sim Swap Fraud
Duplicate SIM issued without consent yesterday,Sim Swap Fraud
SIM swapped and money transferred immediately,Sim Swap Fraud
